0,1,876
0,198,764
0,569,964
0,602,897
0,679,957
3,88,950
3,150,868
3,520,955
3,521,548
4,557,810
5,576,876
6,45,306
6,576,638
6,758,948
7,629,745
8,192,469
8,315,629
9,535,763
10,611,735
10,845,952
11,94,611
17,132,765
17,148,584
17,716,764
19,315,513
20,93,350
21,844,874
25,637,796
27,39,750
27,82,390
27,96,750
27,110,426
27,117,194
27,194,649
27,666,671
28,421,571
28,703,953
29,248,465
29,444,489
32,604,980
32,826,926
33,51,831
34,432,730
35,84,766
36,73,908
36,515,686
36,515,824
36,631,908
36,780,837
38,734,935
39,82,651
40,51,878
40,527,965
41,52,268
41,218,903
43,235,763
43,308,662
45,267,604
45,315,804
45,596,742
45,615,661
46,228,758
46,592,996
47,171,641
47,313,782
48,81,909
48,510,924
48,671,729
49,214,755
49,261,684
49,630,727
52,268,932
52,396,748
54,265,743
54,688,845
60,88,762
60,160,685
60,185,891
60,676,950
61,74,452
61,310,452
61,630,952
62,160,257
62,293,978
63,84,251
63,84,813
63,164,364
63,179,813
66,121,415
66,135,303
66,290,382
66,408,651
67,116,572
67,150,982
67,202,267
67,464,696
68,253,638
68,303,638
68,355,514
68,845,952
69,528,864
70,205,802
70,483,802
72,501,887
72,806,983
73,255,639
73,488,690
74,727,761
75,233,532
75,863,937
78,195,896
80,221,414
80,243,639
80,802,912
81,191,351
82,849,990
83,184,909
83,282,319
83,282,742
83,413,735
83,566,986
84,129,758
84,257,498
84,384,939
85,372,393
86,257,943
87,272,444
88,247,871
88,275,978
88,717,928
90,701,815
91,427,766
92,178,635
92,548,555
94,158,983
94,415,993
96,296,528
96,484,564
97,275,523
101,347,355
105,179,342
106,809,892
108,325,735
108,370,406
109,389,718
109,393,586
110,390,688
110,406,792
111,352,936
111,535,832
112,246,365
112,501,604
113,474,638
113,662,985
115,606,964
116,450,599
117,139,251
117,176,344
117,184,702
119,556,731
119,792,879
120,219,831
121,292,845
121,415,445
122,256,654
123,408,939
124,282,523
124,312,435
124,435,854
125,430,924
126,254,932
129,197,592
132,265,888
133,460,718
135,231,495
